business_id,business_name,sector,city_tier,business_vintage_years,segment_hidden_label,is_ntc_ntb,monthly_upi_volume_inr,avg_monthly_balance_inr,txn_count_per_month,bounce_rate_pct,balance_volatility_pct,gst_on_time_filing_pct,gst_vs_bank_turnover_gap_pct,months_since_last_gst_filing,gst_registration_vintage_years,employee_count,employee_retention_rate_pct,pf_contribution_regularity_pct,avg_salary_payment_delay_days,revenue_6m_growth_pct,revenue_volatility_pct,defaulted_12m
MSME0132,Average Enterprises 132,Retail Trade,Tier-2,4.3,Average,False,33083.0,32578.0,194.0,7.99,19.06,61.72,24.24,1,4.8,16,56.04,50.37,7.2,-3.85,9.28,1
MSME0133,Healthy Enterprises 133,Pharma & Healthcare Retail,Tier-1,9.0,Healthy,False,65513.0,33846.0,269.0,2.2,9.72,75.0,12.56,1,5.4,14,89.78,82.69,0.0,10.59,6.37,1
MSME0134,Average Enterprises 134,Manufacturing (Light),Tier-3,3.6,Average,False,69225.0,23405.0,222.0,5.08,14.96,57.01,22.21,1,4.1,1,68.48,64.04,9.0,0.62,13.14,0
MSME0135,NTC Enterprises 135,Textile & Apparel,Tier-3,3.4,NTC_NTB,True,80742.0,18090.0,138.0,4.66,16.58,53.19,23.81,4,0.9,1,28.98,31.67,9.2,4.38,18.35,0
MSME0136,Average Enterprises 136,Agri-Trading,Tier-2,5.4,Average,False,55730.0,19105.0,151.0,7.75,20.06,37.35,13.89,3,4.0,11,57.44,63.89,10.5,0.85,14.26,0
MSME0137,Average Enterprises 137,IT Services,Tier-3,6.1,Average,False,38463.0,27118.0,217.0,7.97,17.23,52.08,28.94,1,3.3,9,71.99,65.69,12.6,7.34,11.52,0
MSME0138,Risky Enterprises 138,Construction Materials,Tier-2,2.8,Risky,False,23551.0,12321.0,110.0,9.12,27.0,48.28,37.78,3,4.5,8,19.22,30.42,30.3,3.7,17.99,1
MSME0139,Average Enterprises 139,Pharma & Healthcare Retail,Tier-1,5.0,Average,False,44289.0,24089.0,136.0,4.01,17.83,62.84,22.22,0,3.2,14,57.14,46.55,9.9,-1.55,12.3,0
MSME0140,NTC Enterprises 140,Textile & Apparel,Tier-1,2.2,NTC_NTB,True,25731.0,21340.0,133.0,5.93,18.87,47.14,26.66,2,0.1,6,39.82,56.88,3.6,2.55,14.58,0
MSME0141,NTC Enterprises 141,Auto Repair & Parts,Tier-3,2.5,NTC_NTB,True,45747.0,26692.0,173.0,6.68,25.42,31.01,24.82,1,0.1,1,52.62,50.25,7.1,11.66,18.96,0
MSME0142,Average Enterprises 142,Auto Repair & Parts,Tier-3,8.0,Average,False,79407.0,38612.0,177.0,3.4,11.87,74.07,18.77,1,3.4,17,72.63,77.97,9.7,6.13,7.31,0
MSME0143,Average Enterprises 143,Logistics & Transport,Tier-3,9.5,Average,False,53089.0,29242.0,122.0,5.36,15.97,67.46,27.02,4,6.5,4,55.26,64.65,13.1,15.72,18.09,0
MSME0144,Average Enterprises 144,Retail Trade,Tier-2,4.9,Average,False,57519.0,41832.0,203.0,5.51,10.94,53.57,18.82,2,3.9,4,51.4,57.37,14.9,15.46,10.84,0
MSME0145,Average Enterprises 145,Retail Trade,Tier-3,4.1,Average,False,47000.0,35858.0,181.0,8.2,19.27,66.75,20.59,1,5.4,2,71.81,56.4,12.0,-2.55,13.35,0
MSME0146,Healthy Enterprises 146,Pharma & Healthcare Retail,Tier-1,7.5,Healthy,False,79361.0,44299.0,267.0,1.12,7.11,88.59,4.07,0,8.2,16,83.07,73.39,0.0,9.93,7.32,0
MSME0147,Risky Enterprises 147,Pharma & Healthcare Retail,Tier-3,3.2,Risky,False,29376.0,19518.0,102.0,10.07,32.31,41.85,38.35,2,1.2,9,38.76,44.73,14.5,-7.84,14.58,1
MSME0148,Average Enterprises 148,Food & Beverage,Tier-3,7.2,Average,False,42603.0,19893.0,181.0,5.03,12.89,50.85,24.24,1,0.1,9,64.53,50.84,7.7,-0.67,10.46,0
MSME0149,Healthy Enterprises 149,Pharma & Healthcare Retail,Tier-1,8.3,Healthy,False,87066.0,36843.0,229.0,1.29,5.65,82.32,6.44,1,9.0,12,79.5,84.47,0.0,11.82,5.07,0
MSME0150,Average Enterprises 150,Auto Repair & Parts,Tier-1,2.7,Average,False,39939.0,38291.0,189.0,7.41,12.15,64.89,20.9,2,6.5,11,60.6,43.11,5.7,3.12,11.65,0
